date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:06	26390/26390	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:06%20GMT	http://jessicapphotography.com/deutsch/shoplove/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/55/deutsch/shoplove/index.html	(from http://jessicapphotography.com/deutsch/)
13:19:06	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Nov%202015%2018:19:06%20GMT	http://jessicapphotography.com/deutsch/noch-mehr-favourites	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/54/deutsch/noch-mehr-favourites.html	(from http://jessicapphotography.com/deutsch/)
13:19:07	27200/27200	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:06%20GMT	http://jessicapphotography.com/deutsch/photolove/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/1e/deutsch/photolove/index.html	(from http://jessicapphotography.com/deutsch/)
13:19:07	24580/24580	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:07%20GMT	http://jessicapphotography.com/deutsch/noch-mehr-favourites/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/4e/deutsch/noch-mehr-favourites/index.html	(from http://jessicapphotography.com/deutsch/)
13:19:12	1754/1754	---MCZ	200	added ('OK')	text/css	date:Sat,%2021%20Nov%202015%2018:19:11%20GMT	http://jessicapphotography.com/english/wp-content/plugins/ajaxd-wordpress/js/core.css.php	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/28/english/wp-content/plugins/ajaxd-wordpress/js/core.css.css	(from http://jessicapphotography.com/english/)
13:19:13	15625/15625	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:13%20GMT	http://jessicapphotography.com/english/jessica	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/c0/english/jessica.html	(from http://jessicapphotography.com/english/)
13:19:19	16132/16132	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:14%20GMT	http://jessicapphotography.com/english/sessiondetails	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/7d/english/sessiondetails.html	(from http://jessicapphotography.com/english/)
13:19:19	13704/13704	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:15%20GMT	http://jessicapphotography.com/english/investment	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/d8/english/investment.html	(from http://jessicapphotography.com/english/)
13:19:20	15686/15686	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:19%20GMT	http://jessicapphotography.com/english/press	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/ea/english/press.html	(from http://jessicapphotography.com/english/)
13:19:22	14613/14613	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:20%20GMT	http://jessicapphotography.com/english/portfolio	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/2b/english/portfolio.html	(from http://jessicapphotography.com/english/)
